"Match ID","League","Start Date","Duration (s)","Duration (mm:ss)","Radiant Team","Team A","Team A Heroes","Team B","Team B Heroes","Winner"
"859847485","1803","27 Aug 2014 07:14","1771","29:31","Team A","Team Secret","Bane Storm Spirit Tiny Clockwerk Io","Alliance","Earthshaker Mirana Faceless Void Viper Skywrath Mage","Team B"
"865621043","1803","30 Aug 2014 06:34","1435","23:55","Team A","Team Secret","Mirana Puck Clinkz Doom Naga Siren","Fearless Strong","Earthshaker Razor Nature's Prophet Jakiro Skywrath Mage","Team A"
"872609404","1803","03 Sep 2014 06:00","1430","23:50","Team B","Team Secret","Morphling Enigma Death Prophet Doom Io","xGame.kz","Mirana Batrider Brewmaster Shadow Demon Slark","Team A"
"881643649","1886","07 Sep 2014 06:06","1110","18:30","Team A","Team Secret","Mirana Tinker Pugna Jakiro Doom","MeetYourMakers.Dota2","Razor Enigma Faceless Void Shadow Demon Centaur Warrunner","Team A"
"881739785","1886","07 Sep 2014 06:49","1776","29:36","Team B","Team Secret","Vengeful Spirit Death Prophet Clinkz Jakiro Naga Siren","MeetYourMakers.Dota2","Mirana Kunkka Shadow Shaman Tinker Faceless Void","Team A"
"889365612","1803","11 Sep 2014 03:52","1436","23:56","Team A","Team Secret","Mirana Faceless Void Death Prophet Jakiro Doom","Kompas Gaming","Crystal Maiden Razor Kunkka Batrider Naga Siren","Team A"
"896761876","1803","14 Sep 2014 05:01","882","14:42","Team A","Team Secret","Mirana Razor Tidehunter Naga Siren Io","_PowerRangers","Earthshaker Vengeful Spirit Shadow Shaman Death Prophet Doom","Team A"
"897217136","1803","14 Sep 2014 08:44","1484","24:44","Team B","Team Secret","Mirana Sven Alchemist Brewmaster Io","MeetYourMakers.Dota2","Enigma Faceless Void Jakiro Doom Magnus","Team A"
"898833368","1886","15 Sep 2014 05:07","2506","41:46","Team A","Team Secret","Mirana Bounty Hunter Doom Nyx Assassin Troll Warlord","Virtus.pro","Bane Earthshaker Tinker Faceless Void Death Prophet","Team B"
"898975183","1886","15 Sep 2014 06:13","2809","46:49","Team B","Team Secret","Mirana Faceless Void Viper Alchemist Brewmaster","Virtus.pro","Bane Earthshaker Death Prophet Nature's Prophet Silencer","Team A"
"899118441","1886","15 Sep 2014 07:28","2918","48:38","Team B","Team Secret","Mirana Sven Tidehunter Ursa Io","Virtus.pro","Bane Death Prophet Jakiro Bristleback Abaddon","Team A"
"916021145","1886","23 Sep 2014 08:59","1450","24:10","Team A","Team Secret","Earthshaker Enigma Death Prophet Viper Brewmaster","Natus Vincere","Puck Lich Faceless Void Gyrocopter Io","Team A"
"916114015","1886","23 Sep 2014 10:15","953","15:53","Team B","Team Secret","Puck Razor Nature's Prophet Doom Nyx Assassin","Natus Vincere","Tinker Jakiro Batrider Disruptor Visage","Team A"
"920081771","1803","25 Sep 2014 09:58","1670","27:50","Team A","Team Secret","Mirana Death Prophet Gyrocopter Brewmaster Undying","Cloud9","Bane Drow Ranger Storm Spirit Weaver Visage","Team A"
"922707589","1803","26 Sep 2014 08:58","3011","50:11","Team B","Team Secret","Enigma Clockwerk Nature's Prophet Naga Siren Io","Fnatic","Sven Gyrocopter Shadow Demon Timbersaw Ember Spirit","Team A"
"922828973","1803","26 Sep 2014 10:08","1183","19:43","Team A","Team Secret","Bane Earthshaker Puck Death Prophet Viper","Natus Vincere","Mirana Lion Wraith King Templar Assassin Nature's Prophet","Team B"
"935330672","1803","02 Oct 2014 05:01","2276","37:56","Team A","Team Secret","Crystal Maiden Razor Death Prophet Doom Elder Titan","Team Empire","Sven Brewmaster Shadow Demon Medusa Magnus","Team A"
"935867523","1803","02 Oct 2014 10:21","2417","40:17","Team B","Team Secret","Enigma Phantom Assassin Nature's Prophet Brewmaster Io","Virtus.pro","Beastmaster Faceless Void Shadow Demon Medusa Magnus","Team A"
"937544365","1803","03 Oct 2014 06:18","1604","26:44","Team A","Team Secret","Puck Sven Enigma Doom Io","TEAMERINO TINKERINO","Morphling Lich Silencer Centaur Warrunner Skywrath Mage","Team A"
"937697531","1803","03 Oct 2014 07:30","2907","48:27","Team A","Team Secret","Anti-Mage Earthshaker Tidehunter Brewmaster Keeper of the Light","Virtus.pro","Bane Mirana Viper Nature's Prophet Legion Commander","Team A"
"946813049","1803","07 Oct 2014 10:36","1767","29:27","Team A","Team Secret","Earthshaker Razor Dazzle Clinkz Doom","Natus Vincere","Death Prophet Spectre Ancient Apparition Treant Protector Centaur Warrunner","Team B"
"950496116","1886","09 Oct 2014 10:30","1701","28:21","Team B","Team Secret","Earthshaker Faceless Void Death Prophet Nature's Prophet Enchantress","Natus Vincere US","Mirana Razor Clockwerk Brewmaster Shadow Demon","Team A"
"952026450","1886","10 Oct 2014 05:54","1945","32:25","Team A","Team Secret","Razor Enigma Clockwerk Alchemist Naga Siren","Vici Gaming","Anti-Mage Sand King Lion Brewmaster Timbersaw","Team B"
"960946028","1942","14 Oct 2014 10:15","3383","56:23","Team A","Team Secret","Puck Lion Doom Skywrath Mage Terrorblade","Sneaky Nyx Assassins","Bane Mirana Dark Seer Brewmaster Naga Siren","Team A"
"961014146","1942","14 Oct 2014 11:30","3354","55:54","Team B","Team Secret","Earthshaker Clinkz Enchantress Magnus Timbersaw","Sneaky Nyx Assassins","Mirana Storm Spirit Omniknight Io Skywrath Mage","Team A"
"964612490","1936","16 Oct 2014 09:55","1842","30:42","Team A","Team Secret","Mirana Phantom Assassin Nature's Prophet Brewmaster Io","Cloud9","Anti-Mage Sand King Death Prophet Centaur Warrunner Skywrath Mage","Team A"
"966231110","1936","17 Oct 2014 06:03","2467","41:07","Team A","Team Secret","Brewmaster Ogre Magi Keeper of the Light Timbersaw Terrorblade","Natus Vincere","Bane Death Prophet Nyx Assassin Bristleback Elder Titan","Team A"
"972689000","1936","20 Oct 2014 03:45","2703","45:03","Team A","Team Secret","Viper Clinkz Chen Disruptor Legion Commander","Alliance","Venomancer Doom Io Magnus Bristleback","Team B"
"972851295","1936","20 Oct 2014 05:02","2907","48:27","Team A","Team Secret","Witch Doctor Doom Nyx Assassin Medusa Ember Spirit","Fnatic","Batrider Ancient Apparition Rubick Slark Magnus","Team A"
"973237129","1936","20 Oct 2014 08:38","2278","37:58","Team A","Team Secret","Mirana Sven Necrophos Doom Ogre Magi","Team Empire","Tidehunter Enigma  Death Prophet Viper Skywrath Mage","Team A"
"977919889","1803","23 Oct 2014 12:30","3605","1:00:05","Team A","Team Secret","Earthshaker Mirana Tidehunter Gyrocopter Ember Spirit","Virtus.pro","Puck Razor Death Prophet Dazzle Ogre Magi","Team A"
"978790888","1803","23 Oct 2014 07:48","3149","52:29","Team A","Team Secret","Mirana Sven Tidehunter Viper Elder Titan","Inter Active Philippines","Earthshaker Razor Death Prophet Nature's Prophet Skywrath Mage","Team A"
"979949207","1803","24 Oct 2014 01:23","1047","17:27","Team B","Team Secret","Mirana Puck Necrophos Io Timbersaw","Natus Vincere","Bane Tidehunter Outworld Devourer Ogre Magi Slark","Team A"
"980759671","1803","24 Oct 2014 07:12","3128","52:08","Team A","Team Secret","Anti-Mage Puck Ancient Apparition Disruptor Timbersaw","TEAMERINO TINKERINO","Razor Batrider Io Skywrath Mage Ember Spirit","Team A"
"980925414","1803","24 Oct 2014 08:42","2745","45:45","Team B","Team Secret","Earthshaker Tidehunter Death Prophet Clinkz Ogre Magi","TEAMERINO TINKERINO","Razor Sven Jakiro Skywrath Mage Legion Commander","Team A"
"982776752","1803","25 Oct 2014 05:20","4080","1:08:00","Team A","Team Secret","Anti-Mage Tidehunter Brewmaster Keeper of the Light Elder Titan","Evil Geniuses","Sand King Death Prophet Lifestealer Batrider Silencer","Team A"
"982966785","1803","25 Oct 2014 06:55","2438","40:38","Team B","Team Secret","Vengeful Spirit Tidehunter Necrophos Death Prophet Elder Titan","Evil Geniuses","Lina Shadow Shaman Lich Dragon Knight Ogre Magi","Team A"
"985527495","1803","26 Oct 2014 07:18","2443","40:43","Team A","Team Secret","Mirana Storm Spirit Sven Ogre Magi Elder Titan","Evil Geniuses","Vengeful Spirit Tidehunter Beastmaster Batrider Lycan","Team B"
"985628940","1803","26 Oct 2014 08:25","2097","34:57","Team B","Team Secret","Earthshaker Morphling Enigma Doom Brewmaster","Evil Geniuses","Tidehunter Lich Slark Skywrath Mage Ember Spirit","Team A"
"985709661","1803","26 Oct 2014 09:30","2486","41:26","Team A","Team Secret","Earthshaker Death Prophet Gyrocopter Ogre Magi Timbersaw","Evil Geniuses","Puck Tidehunter Dazzle Lycan Visage","Team B"
"985780481","1803","26 Oct 2014 10:34","3526","58:46","Team B","Team Secret","Earthshaker Doom Brewmaster Keeper of the Light Medusa","Evil Geniuses","Puck Tidehunter Witch Doctor Lycan Nyx Assassin","Team B"
"991026207","1936","29 Oct 2014 04:46","2114","35:14","Team A","Team Secret","Puck Enigma Nature's Prophet Io Slark","_PowerRangers","Anti-Mage Sand King Lina Tidehunter Skywrath Mage","Team A"
"991206298","1936","29 Oct 2014 06:22","2284","38:04","Team A","Team Secret","Earthshaker Puck Necrophos Dazzle Doom","Moscow Five RUS","Sven Tidehunter Death Prophet Medusa Skywrath Mage","Team A"
"991543088","1936","29 Oct 2014 10:17","1439","23:59","Team A","Team Secret","Tiny Tidehunter Brewmaster Keeper of the Light Elder Titan","Kompas Gaming","Faceless Void Nature's Prophet Ogre Magi Magnus Skywrath Mage","Team A"
"993012508","1936","30 Oct 2014 04:48","4177","1:09:37","Team A","Team Secret","Earthshaker Tiny Tidehunter Queen of Pain Keeper of the Light","Virtus.pro","Razor Death Prophet Treant Protector Nyx Assassin Skywrath Mage","Team B"
