"Match ID","League","Start Date","Duration (s)","Duration (mm:ss)","Radiant Team","Team A","Team A Heroes","Team B","Team B Heroes","Winner"
"24660062","5","07 Jul 2012 02:03","3082","51:22","Team B","LGD-GAMING","Vengeful Spirit Dark Seer Ancient Apparition Chaos Knight Rubick","Unknown Radiant Team","Morphling Sand King Enigma Venomancer Invoker","Team A"
"24666532","5","07 Jul 2012 03:20","978","16:18","Team A","LGD-GAMING","Morphling Shadow Shaman Nature's Prophet Night Stalker Shadow Demon","Unknown Dire Team","Crystal Maiden Queen of Pain Leshrac Broodmother Chaos Knight","Team B"
"26819809","7","18 Jul 2012 03:35","1667","27:47","Team B","LGD-GAMING","Morphling Windranger Shadow Shaman Leshrac Night Stalker","Unknown Radiant Team","Sand King Queen of Pain Enchantress Invoker Shadow Demon","Team A"
"26829838","7","18 Jul 2012 04:29","1992","33:12","Team A","LGD-GAMING","Morphling Sand King Nature's Prophet Invoker Shadow Demon","Unknown Dire Team","Windranger Tidehunter Venomancer Templar Assassin Night Stalker","Team B"
"27653445","5","22 Jul 2012 04:40","1973","32:53","Team B","LGD-GAMING","Tidehunter Queen of Pain Invoker Chaos Knight Disruptor","EHOME","Windranger Enigma Brewmaster Rubick Naga Siren","Team B"
"27665394","5","22 Jul 2012 05:42","2682","44:42","Team A","LGD-GAMING","Earthshaker Lina Invoker Lone Druid Chaos Knight","EHOME","Morphling Lion Broodmother Brewmaster Shadow Demon","Team A"
"28073391","7","24 Jul 2012 06:17","2241","37:21","Team B","LGD-GAMING","Morphling Sand King Nature's Prophet Invoker Shadow Demon","Darer","Windranger Tidehunter Lich Enchantress Lycan","Team A"
"28086279","7","24 Jul 2012 07:22","3210","53:30","Team A","LGD-GAMING","Shadow Shaman Tidehunter Tinker Queen of Pain Naga Siren","Darer","Sand King Kunkka Leshrac Nature's Prophet Shadow Demon","Team B"
"28097019","7","24 Jul 2012 08:46","2119","35:19","Team A","LGD-GAMING","Earthshaker Queen of Pain Invoker Chaos Knight Disruptor","Darer","Bane Sand King Windranger Enchantress Broodmother","Team A"
"29128284","5","29 Jul 2012 01:50","2480","41:20","Team B","LGD-GAMING","Morphling Lina Invoker Brewmaster Shadow Demon","Invictus Gaming","Anti-Mage Tidehunter Templar Assassin Dark Seer Rubick","Team A"
"29138146","5","29 Jul 2012 02:56","1664","27:44","Team A","LGD-GAMING","Enigma Dragon Knight Leshrac Invoker Shadow Demon","Invictus Gaming","Morphling Sand King Windranger Brewmaster Disruptor","Team B"
"29146515","5","29 Jul 2012 03:52","1452","24:12","Team B","LGD-GAMING","Shadow Shaman Enigma Leshrac Brewmaster Lone Druid","Invictus Gaming","Anti-Mage Sand King Lina Night Stalker Invoker","Team A"
"29170569","5","29 Jul 2012 05:18","3497","58:17","Team B","LGD-GAMING","Enigma Beastmaster Invoker Chaos Knight Disruptor","Zenith","Puck Sand King Broodmother Shadow Demon Naga Siren","Team B"
"29189170","5","29 Jul 2012 06:47","2618","43:38","Team A","LGD-GAMING","Windranger Lina Ancient Apparition Chaos Knight Naga Siren","Zenith","Earthshaker Morphling Dark Seer Invoker Disruptor","Team B"
"29200205","5","29 Jul 2012 08:05","1899","31:39","Team B","LGD-GAMING","Anti-Mage Shadow Shaman Enigma Ancient Apparition Chaos Knight","Zenith","Morphling Sand King Windranger Enchantress Invoker","Team B"
"29393541","7","30 Jul 2012 06:08","2115","35:15","Team B","LGD-GAMING","Shadow Shaman Tidehunter Leshrac Nature's Prophet Chaos Knight","Evil Geniuses","Puck Enigma Shadow Demon Rubick Naga Siren","Team B"
"29405010","7","30 Jul 2012 07:03","2142","35:42","Team A","LGD-GAMING","Shadow Shaman Enigma Dragon Knight Leshrac Brewmaster","Evil Geniuses","Crystal Maiden Morphling Tidehunter Rubick Naga Siren","Team B"
"29413678","7","30 Jul 2012 08:06","1842","30:42","Team A","LGD-GAMING","Lina Enigma Dragon Knight Disruptor Naga Siren","Evil Geniuses","Tidehunter Beastmaster Leshrac Enchantress Lone Druid","Team B"
"30958868","7","06 Aug 2012 05:19","757","12:37","Team A","LGD-GAMING","Sand King Windranger Dragon Knight Broodmother Rubick","Absolute Legends","Morphling Tinker Queen of Pain Venomancer Leshrac","Team B"
"30964176","7","06 Aug 2012 05:53","2551","42:31","Team B","LGD-GAMING","Morphling Sand King Queen of Pain Venomancer Leshrac","Absolute Legends","Storm Spirit Dark Seer Enchantress Brewmaster Rubick","Team A"
"31875909","7","10 Aug 2012 04:32","4602","1:16:42","Team B","LGD-GAMING","Sand King Windranger Queen of Pain Lone Druid Rubick","Invictus Gaming","Morphling Shadow Shaman Dark Seer Invoker Shadow Demon","Team A"
