"Match ID","League","Start Date","Duration (s)","Duration (mm:ss)","Radiant Team","Team A","Team A Heroes","Team B","Team B Heroes","Winner"
"22423299","4","25 Jun 2012 08:09","1910","31:50","Team B","Natus Vincere","Shadow Shaman Enigma Venomancer Enchantress Broodmother","Ahead.kz","Sand King Vengeful Spirit Leshrac Dark Seer Bounty Hunter","Team B"
"22782301","6","27 Jun 2012 09:37","2514","41:54","Team B","Natus Vincere","Tidehunter Queen of Pain Venomancer Pugna Lone Druid","Team Empire","Earthshaker Windranger Lich Weaver Invoker","Team A"
"23167785","4","29 Jun 2012 09:07","2307","38:27","Team B","Natus Vincere","Enigma Tinker Beastmaster Venomancer Lone Druid","Team Empire","Tidehunter Leshrac Broodmother Invoker Shadow Demon","Team A"
"23382424","4","30 Jun 2012 09:20","3939","1:05:39","Team A","Natus Vincere","Windranger Tidehunter Venomancer Nature's Prophet Lone Druid","FnaticRaidCall","Enigma Tinker Queen of Pain Leshrac Shadow Demon","Team A"
"23754414","4","02 Jul 2012 06:37","2310","38:30","Team B","Natus Vincere","Windranger Enigma Nature's Prophet Lone Druid Ogre Magi","Storm Games Clan","Morphling Sand King Leshrac Invoker Shadow Demon","Team A"
"24920736","4","08 Jul 2012 08:50","2160","36:00","Team A","Natus Vincere","Sand King Windranger Nature's Prophet Shadow Demon Io","mTw","Tidehunter Beastmaster Venomancer Enchantress Lycan","Team A"
"25577208","6","12 Jul 2012 01:49","2684","44:44","Team A","Natus Vincere","Vengeful Spirit Windranger Dark Seer Lone Druid Rubick","mousesports","Slardar Enigma Venomancer Leshrac Clinkz","Team A"
"25592495","6","12 Jul 2012 03:56","1594","26:34","Team B","Natus Vincere","Bane Sand King Tinker Bounty Hunter Chen","Unknown Radiant Team","Slardar Enigma Leshrac Clinkz Shadow Demon","Team A"
"25609735","6","12 Jul 2012 05:24","1943","32:23","Team A","Natus Vincere","Windranger Enigma Venomancer Lifestealer Dark Seer","Darer","Bane Leshrac Invoker Lone Druid Chaos Knight","Team B"
"25626380","6","12 Jul 2012 07:21","1502","25:02","Team A","Natus Vincere","Bane Sand King Tinker Nature's Prophet Chen","Team Empire","Earthshaker Windranger Leshrac Invoker Chaos Knight","Team A"
"25779084","6","13 Jul 2012 02:00","3929","1:05:29","Team A","Natus Vincere","Bane Sand King Windranger Nature's Prophet Chen","mousesports","Enigma Queen of Pain Venomancer Leshrac Lone Druid","Team B"
"25789128","6","13 Jul 2012 03:28","2256","37:36","Team B","Natus Vincere","Enchantress Broodmother Ancient Apparition Chaos Knight Rubick","mousesports","Morphling Sand King Enigma Venomancer Leshrac","Team A"
"25796951","6","13 Jul 2012 04:26","1437","23:57","Team A","Natus Vincere","Sand King Venomancer Dark Seer Chen Lone Druid","mousesports","Windranger Lina Nature's Prophet Clinkz Chaos Knight","Team A"
"25857414","6","13 Jul 2012 09:45","2163","36:03","Team B","Natus Vincere","Crystal Maiden Windranger Enigma Tinker Chaos Knight","Moscow Five","Sand King Lich Leshrac Chen Rubick","Team A"
"25863645","6","13 Jul 2012 10:49","1368","22:48","Team A","Natus Vincere","Morphling Sand King Venomancer Nature's Prophet Dark Seer","Moscow Five","Lion Queen of Pain Enchantress Broodmother Chaos Knight","Team A"
"26275622","6","15 Jul 2012 08:46","2397","39:57","Team A","Natus Vincere","Tidehunter Phantom Assassin Leshrac Nature's Prophet Enchantress","mousesports","Windranger Chen Ancient Apparition Lone Druid Chaos Knight","Team A"
"26285062","6","15 Jul 2012 09:53","1856","30:56","Team B","Natus Vincere","Juggernaut Tidehunter Chen Shadow Demon Rubick","mousesports","Anti-Mage Crystal Maiden Sand King Enigma Broodmother","Team A"
"27504408","4","21 Jul 2012 10:27","3815","1:03:35","Team B","Natus Vincere","Tinker Dark Seer Enchantress Ancient Apparition Chaos Knight","Team Quantic","Morphling Vengeful Spirit Venomancer Leshrac Invoker","Team B"
"27512428","4","21 Jul 2012 11:45","1775","29:35","Team A","Natus Vincere","Earthshaker Sand King Enigma Pugna Rubick","Team Quantic","Templar Assassin Leshrac Enchantress Invoker Brewmaster","Team B"
"28471761","4","26 Jul 2012 06:30","3190","53:10","Team B","Natus Vincere","Windranger Tinker Venomancer Lone Druid Rubick","We haz Asian","Morphling Sand King Chen Invoker Shadow Demon","Team A"
"28485164","4","26 Jul 2012 08:19","2000","33:20","Team A","Natus Vincere","Sand King Tinker Queen of Pain Chen Shadow Demon","We haz Asian","Morphling Enigma Beastmaster Venomancer Leshrac","Team A"
"30242039","4","03 Aug 2012 06:39","1236","20:36","Team A","Natus Vincere","Windranger Tidehunter Tinker Venomancer Enchantress","Potm Bottom","Shadow Shaman Enigma Broodmother Bounty Hunter Rubick","Team B"
"30249270","4","03 Aug 2012 07:16","3177","52:57","Team B","Natus Vincere","Shadow Fiend Sand King Enigma Broodmother Brewmaster","Potm Bottom","Shadow Shaman Tidehunter Leshrac Invoker Lone Druid","Team B"
"35833802","65001","26 Aug 2012 08:42","1995","33:15","Team A","Natus Vincere","Tinker Beastmaster Enchantress Shadow Demon Lone Druid","Invictus Gaming","Morphling Tidehunter Bounty Hunter Chen Rubick","Team B"
"35840842","65001","26 Aug 2012 09:28","1078","17:58","Team B","Natus Vincere","Morphling Tidehunter Enigma Chen Invoker","Invictus Gaming","Tinker Venomancer Luna Nature's Prophet Enchantress","Team B"
"35874445","65001","27 Aug 2012 01:40","1678","27:58","Team A","Natus Vincere","Pudge Venomancer Leshrac Dark Seer Clinkz","compLexity Gaming","Morphling Vengeful Spirit Tidehunter Nature's Prophet Visage","Team A"
"35878290","65001","27 Aug 2012 02:24","2494","41:34","Team B","Natus Vincere","Sand King Storm Spirit Venomancer Bounty Hunter Invoker","compLexity Gaming","Mirana Vengeful Spirit Tidehunter Nature's Prophet Lone Druid","Team B"
"35897071","65001","27 Aug 2012 05:45","1560","26:00","Team A","Natus Vincere","Sand King Windranger Queen of Pain Leshrac Lycan","EHOME","Morphling Storm Spirit Tidehunter Venomancer Nature's Prophet","Team A"
"35900932","65001","27 Aug 2012 06:30","2187","36:27","Team B","Natus Vincere","Sand King Windranger Enigma Leshrac Broodmother","EHOME","Lina Nature's Prophet Bounty Hunter Invoker Chaos Knight","Team B"
"36054225","65001","27 Aug 2012 08:47","2281","38:01","Team A","Natus Vincere","Crystal Maiden Morphling Windranger Nature's Prophet Invoker","Orange E-Sports","Sand King Tidehunter Queen of Pain Leshrac Chen","Team B"
"36062297","65001","27 Aug 2012 09:40","3241","54:01","Team B","Natus Vincere","Tidehunter Beastmaster Queen of Pain Clinkz Broodmother","Orange E-Sports","Morphling Shadow Shaman Batrider Chen Invoker","Team B"
"36079393","65001","27 Aug 2012 11:27","1861","31:01","Team A","Natus Vincere","Pudge Tidehunter Leshrac Broodmother Io","Darer","Sand King Chen Ancient Apparition Invoker Chaos Knight","Team A"
"36084100","65001","28 Aug 2012 12:10","2376","39:36","Team B","Natus Vincere","Anti-Mage Puck Venomancer Leshrac Dark Seer","Darer","Shadow Shaman Tidehunter Enigma Invoker Naga Siren","Team A"
"36106331","65001","28 Aug 2012 03:38","1626","27:06","Team A","Natus Vincere","Anti-Mage Pudge Enigma Venomancer Chen","mTw","Morphling Sand King Lich Leshrac Bounty Hunter","Team A"
"36109585","65001","28 Aug 2012 04:15","1555","25:55","Team B","Natus Vincere","Storm Spirit Shadow Shaman Nature's Prophet Dark Seer Chaos Knight","mTw","Sand King Windranger Queen of Pain Lycan Rubick","Team A"
"36284486","65001","28 Aug 2012 08:58","2741","45:41","Team B","Natus Vincere","Puck Enigma Phantom Assassin Leshrac Dark Seer","Unknown Radiant Team","Shadow Shaman Queen of Pain Chen Rubick Naga Siren","Team A"
"37103486","65001","01 Sep 2012 03:16","1545","25:45","Team B","Natus Vincere","Anti-Mage Tidehunter Queen of Pain Leshrac Broodmother","DK","Windranger Tinker Venomancer Luna Chen","Team A"
"37107482","65001","01 Sep 2012 04:00","2840","47:20","Team A","Natus Vincere","Puck Sand King Enigma Leshrac Lycan","DK","Earthshaker Morphling Windranger Pugna Nature's Prophet","Team B"
"37113046","65001","01 Sep 2012 05:03","1627","27:07","Team B","Natus Vincere","Anti-Mage Beastmaster Leshrac Lycan Rubick","DK","Enigma Venomancer Dazzle Brewmaster Naga Siren","Team A"
"37347063","65001","02 Sep 2012 01:40","975","16:15","Team B","Natus Vincere","Anti-Mage Tidehunter Queen of Pain Venomancer Chen","Invictus Gaming","Morphling Shadow Shaman Night Stalker Broodmother Rubick","Team B"
"37350093","65001","02 Sep 2012 02:12","1548","25:48","Team A","Natus Vincere","Juggernaut Shadow Shaman Enigma Enchantress Rubick","Invictus Gaming","Puck Lina Tidehunter Dark Seer Naga Siren","Team A"
"37353672","65001","02 Sep 2012 02:53","2105","35:05","Team B","Natus Vincere","Anti-Mage Enigma Queen of Pain Leshrac Chen","Invictus Gaming","Tinker Venomancer Luna Dark Seer Enchantress","Team A"
